,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2016  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
3601,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية,دول استراليا وجزر الباسفيك,0,0,2,0,0,0,0,0,2,Australia and Oceania,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
3602,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
3603,70199060,انابيب ومواسير,دول مجلس التعاون الخليجي,0,6,37,0,0,0,0,6,37,Gulf Cooperation Council,PIPES AND TUBES,70199060,
3604,70199060,انابيب ومواسير,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,2,Other Arab League Countries,PIPES AND TUBES,70199060,
3605,70199060,انابيب ومواسير,دول اسلامية عدا العربية,0,0,6,0,0,0,0,0,6,Islamic not Arabic countries,PIPES AND TUBES,70199060,
3606,70199060,انابيب ومواسير,دول اسيوية عدا العربية والاسلامية,0,0,1,0,0,0,0,0,1,"Asian not Arabic ,not Islamic",PIPES AND TUBES,70199060,
3607,70199060,انابيب ومواسير, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,1,Other Country Groups,PIPES AND TUBES,70199060,
3608,70199090,غيرها من مصنوعات من الياف زجاجيه,دول مجلس التعاون الخليجي,0,1,9,0,1,2,0,2,10,Gulf Cooperation Council,OTHER ARTICLES OF GLASS FIBERS,70199090,
3609,70199090,غيرها من مصنوعات من الياف زجاجيه, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER ARTICLES OF GLASS FIBERS,70199090,
3610,70200090,غيرها من مصنوعات من زجــاج,دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,OTHER ARTICLES OF GLASS,70200090,
3611,70200090,غيرها من مصنوعات من زجــاج, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER ARTICLES OF GLASS,70200090,
3612,71022900,غيره من ماس، صناعى,دول مجلس التعاون الخليجي,0,0,0,0,0,2,0,0,2,Gulf Cooperation Council,OTHER INDUSTRIAL DIAMONDS,71022900,
3613,71069110,سبائك فضة,دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,SILVER INGOTS,71069110,
3614,71069110,سبائك فضة,دول اوروبا عدا دول الاتحاد الأوروبي,0,0,4,0,0,0,0,0,4,Europe not European Union,SILVER INGOTS,71069110,
3615,71081210,سبائك ذهب,دول مجلس التعاون الخليجي,0,0,1939,0,0,166,0,0,2105,Gulf Cooperation Council,GOLD INGOTS,71081210,
3616,71081210,سبائك ذهب,دول اسيوية عدا العربية والاسلامية,0,0,1,0,0,0,0,0,1,"Asian not Arabic ,not Islamic",GOLD INGOTS,71081210,
3617,71081210,سبائك ذهب,دول اوروبا عدا دول الاتحاد الأوروبي,0,0,966,0,0,22,0,0,988,Europe not European Union,GOLD INGOTS,71081210,
3618,71081210,سبائك ذهب, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,GOLD INGOTS,71081210,
3619,71081300,غيرها من أشكال ذهب نصف مشغولة أخر,دول الجامعة العربية الاخرى,0,0,6,0,0,0,0,0,6,Other Arab League Countries,OTHER SEMI-MANUFACTURED FORMS OF GOLD,71081300,
3620,71123000,رمادمحتوي على معادن ثمينة او مركبات معادن ثمينة,دول امريكا الشمالية,0,0,1,0,0,0,0,0,1,North America,ASHES THAT ARE INCLUDED VALUABLE METALS OR VALUABLE,71123000,
3621,71123000,رمادمحتوي على معادن ثمينة او مركبات معادن ثمينة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,ASHES THAT ARE INCLUDED VALUABLE METALS OR VALUABLE,71123000,
3622,71131100,حلى ومجوهرات واجزاوءها من فضه,دول امريكا الشمالية,0,0,0,0,0,1,0,0,1,North America,JEWELLERY OF SILVER,71131100,
3623,71131100,حلى ومجوهرات واجزاوءها من فضه, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,JEWELLERY OF SILVER,71131100,
3624,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول مجلس التعاون الخليجي,0,0,414,0,0,270,0,0,684,Gulf Cooperation Council,JEWELLERY OF GOLD,71131910,
3625,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول الجامعة العربية الاخرى,0,0,10,0,0,68,0,0,78,Other Arab League Countries,JEWELLERY OF GOLD,71131910,
3626,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول اسلامية عدا العربية,0,0,0,0,0,1,0,0,1,Islamic not Arabic countries,JEWELLERY OF GOLD,71131910,
3627,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,50,0,0,50,"Asian not Arabic ,not Islamic",JEWELLERY OF GOLD,71131910,
3628,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول امريكا الشمالية,0,0,0,0,0,2,0,0,2,North America,JEWELLERY OF GOLD,71131910,
3629,71131910,حلي ومجوهرات وأجزاؤها من ذهب,دول الاتحاد الأوروبي,0,0,0,0,0,386,0,0,386,European Union,JEWELLERY OF GOLD,71131910,
3630,71131910,حلي ومجوهرات وأجزاؤها من ذهب, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,JEWELLERY OF GOLD,71131910,
3631,71131920,حلي ومجوهرات وأجزاؤها من بلاتين أو زمرته,دول مجلس التعاون الخليجي,0,0,23,0,0,110,0,0,133,Gulf Cooperation Council,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920,
3632,71131920,حلي ومجوهرات وأجزاؤها من بلاتين أو زمرته,دول الجامعة العربية الاخرى,0,0,0,0,0,57,0,0,57,Other Arab League Countries,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920,
