,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
935,27101913,0,14458,76903,Other Arab League Countries,LUBRICATING OIL FOR DIESEL ENRINES,27101913
936,27101913,0,957,5550,Islamic not Arabic countries,LUBRICATING OIL FOR DIESEL ENRINES,27101913
937,27101913,0,1021,5810,"African not Arabic,not Islamic",LUBRICATING OIL FOR DIESEL ENRINES,27101913
938,27101914,0,122,861,Gulf Cooperation Council,LUBRICATING OIL FOR MOVEMENT SHIELDS,27101914
939,27101914,0,726,4046,Other Arab League Countries,LUBRICATING OIL FOR MOVEMENT SHIELDS,27101914
940,27101915,0,387,19429,Gulf Cooperation Council,AUTOMATIC MOVEMENT LIQUID,27101915
941,27101915,0,1085,9535,Other Arab League Countries,AUTOMATIC MOVEMENT LIQUID,27101915
942,27101915,0,96,429,Islamic not Arabic countries,AUTOMATIC MOVEMENT LIQUID,27101915
943,27101915,0,244,7571,"Asian not Arabic ,not Islamic",AUTOMATIC MOVEMENT LIQUID,27101915
944,27101919,0,70,6232,Gulf Cooperation Council,OTHER GREASING OIL,27101919
945,27101919,0,53,1087,Other Arab League Countries,OTHER GREASING OIL,27101919
946,27101919,0,120,3112,Islamic not Arabic countries,OTHER GREASING OIL,27101919
947,27101919,0,71,2350,"Asian not Arabic ,not Islamic",OTHER GREASING OIL,27101919
948,27101991,0,65,534,Other Arab League Countries,CUTTING OILS .,27101991
949,27101994,0,1201,6023,Other Arab League Countries,LIQUIDS FOR HY.,27101994
950,27101994,0,83,370,"African not Arabic,not Islamic",LIQUIDS FOR HY.,27101994
951,27101995,0,2211,2825,Gulf Cooperation Council,HYDRAULIC AND TERBONIC SYSTEM OIL,27101995
952,27101995,0,1353,7710,Other Arab League Countries,HYDRAULIC AND TERBONIC SYSTEM OIL,27101995
953,27101995,0,151,1056,"African not Arabic,not Islamic",HYDRAULIC AND TERBONIC SYSTEM OIL,27101995
954,27101997,0,13002,47802,Gulf Cooperation Council,WHITE OILS SUCH AS :VASELINE AND PARAFFIN OIL,27101997
955,27101997,0,1450,2798,Islamic not Arabic countries,WHITE OILS SUCH AS :VASELINE AND PARAFFIN OIL,27101997
956,27101997,0,12580,52248,"Asian not Arabic ,not Islamic",WHITE OILS SUCH AS :VASELINE AND PARAFFIN OIL,27101997
