,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15488,,,,,85042100,محولات بعوازل سائله، لاتزيد قدرتها عن 650 كيلو فولت امبير,"LIQUID DIELECTRIC TRANSFORMERS, 650 OR LESS KVA",,,,1067.718,32.899744999999996,9.009,0.41511,1076.727,33.314855
15489,,,,,,,,دول استراليا وجزر الباسفيك,AUSTRALIA AND OCEANIA,,49.38,0.774407,0,0,49.38,0.774407
15490,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,12.66,0.174375,0,0,12.66,0.174375
15491,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,0.22,0.005855,0.22,0.005855
15492,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,344.055,4.448803,1,0.00505,345.055,4.453853
15493,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,661.623,27.50216,7.789,0.404205,669.412,27.906365
15494,,,,,85042200,"محولات بعوازل سائله قدرتها بين 651 ك/ف/ا - 10,000 ك/ف/ا","LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",,,,1922.68,27.700494,52.370000000000005,1.218119,1975.05,28.918613
15495,,,,,,,,دول استراليا وجزر الباسفيك,AUSTRALIA AND OCEANIA,,110.85,1.742436,0,0,110.85,1.742436
15496,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,4.755,0.106875,0,0,4.755,0.106875
15497,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,17,0.266625,10,0.24375,27,0.510375
15498,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,24.715,0.218344,13.5,0.493702,38.215,0.712046
15499,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,1011.57,16.090735,0,0,1011.57,16.090735
15500,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.013,0.009475,0.013,0.009475
15501,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,753.79,9.275479,28.857,0.471192,782.6469999999999,9.746671000000001
15502,,,,,85042300,"محولات بعوازل سائله تزيد قدرتها عن 10,000كيلو فولت امبير","LIQUID DIELECTRIC TRANSFORMERS, OVER 10,000 KVA",,,,531.957,10.725855,107.78999999999999,25.113528,639.747,35.839383
15503,,,,,,,,دول استراليا وجزر الباسفيك,AUSTRALIA AND OCEANIA,,98.38,1.555238,0,0,98.38,1.555238
15504,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,67.6,1.091295,67.6,1.091295
15505,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,26.19,23.899724,26.19,23.899724
15506,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,265,3.437725,0,0,265,3.437725
15507,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,168.577,5.732892,14,0.122509,182.577,5.855401
