,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3732,0,1,3,Australia and Oceania,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3733,0,0,0,Other Country Groups,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3734,0,28,118,Gulf Cooperation Council,PIPES AND TUBES,70199060
3735,0,2,6,Other Arab League Countries,PIPES AND TUBES,70199060
3736,0,0,1,"Asian not Arabic ,not Islamic",PIPES AND TUBES,70199060
3737,0,1,4,"African not Arabic,not Islamic",PIPES AND TUBES,70199060
3738,0,9,78,Gulf Cooperation Council,OTHER ARTICLES OF GLASS FIBERS,70199090
3739,0,0,2,Other Arab League Countries,OTHER ARTICLES OF GLASS FIBERS,70199090
3740,0,0,0,Other Country Groups,OTHER ARTICLES OF GLASS FIBERS,70199090
3741,0,0,163,Gulf Cooperation Council,GOLD INGOTS,71081210
3742,0,0,35,Other Arab League Countries,GOLD INGOTS,71081210
3743,0,0,2,Islamic not Arabic countries,GOLD INGOTS,71081210
3744,0,0,1716,Europe not European Union,GOLD INGOTS,71081210
3745,0,0,2,Gulf Cooperation Council,OTHER UNWROUGHT GOLD,71081290
3746,0,0,41,Other Arab League Countries,OTHER SEMI-MANUFACTURED FORMS OF GOLD,71081300
3747,0,0,1,Islamic not Arabic countries,OTHER SEMI-MANUFACTURED FORMS OF GOLD,71081300
3748,0,0,7,Gulf Cooperation Council,"MONETARY GOLD, UNWROUGHT, SEMI-MANUFACTURED, POWDER",71082000
3749,0,0,3,Islamic not Arabic countries,OTHER WASTED OF GOLD INCLUDING REGULAR METALS,71129100
3750,0,0,45,Gulf Cooperation Council,OTHER VALUABLE METAL WASTES,71129900
3751,0,0,3,"Asian not Arabic ,not Islamic",OTHER VALUABLE METAL WASTES,71129900
3752,0,0,0,Other Country Groups,OTHER VALUABLE METAL WASTES,71129900
3753,0,0,6,"Asian not Arabic ,not Islamic",JEWELLERY OF SILVER,71131100
3754,0,0,0,Other Country Groups,JEWELLERY OF SILVER,71131100
3755,0,0,522,Gulf Cooperation Council,JEWELLERY OF GOLD,71131910
3756,0,0,60,Other Arab League Countries,JEWELLERY OF GOLD,71131910
3757,0,0,130,Islamic not Arabic countries,JEWELLERY OF GOLD,71131910
3758,0,0,119,"Asian not Arabic ,not Islamic",JEWELLERY OF GOLD,71131910
3759,0,0,4,North America,JEWELLERY OF GOLD,71131910
3760,0,0,414,European Union,JEWELLERY OF GOLD,71131910
3761,0,0,125,Europe not European Union,JEWELLERY OF GOLD,71131910
3762,0,0,119,Gulf Cooperation Council,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920
3763,0,0,59,Other Arab League Countries,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920
3764,0,0,2,European Union,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920
3765,0,0,7,Europe not European Union,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920
3766,0,0,0,Other Country Groups,JEWELLERY OF PLATINIUM AND THE PLATINUM GROUP,71131920
3767,0,0,2,Europe not European Union,GOLDSMITHS' WARES OF SILVER,71141100
3768,0,0,0,Other Country Groups,GOLDSMITHS' WARES OF SILVER,71141100
3769,0,0,4,Gulf Cooperation Council,GOLDSMITHS WARES OF GOLD,71141910
3770,0,0,0,Other Country Groups,GOLDSMITHS WARES OF GOLD,71141910
3771,0,0,3,European Union,GOLDSMITHS WARES OF PLATINIUM AND THE PLATINIUM GROUP,71141920
3772,0,0,5,European Union,OTHER ARTICLES OF PRECIOUS METAL OR CLAD WITH THE SAME,71159000
3773,0,0,1,Gulf Cooperation Council,OTHER STUDS OF BASE METALS,71171190
3774,0,0,1,Other Country Groups,OTHER STUDS OF BASE METALS,71171190
3775,0,0,2,Gulf Cooperation Council,OTHER IMITATION JEWELLERY OF BASE METAL,71171900
3776,0,0,2,European Union,OTHER IMITATION JEWELLERY OF BASE METAL,71171900
3777,0,0,6,Other Arab League Countries,IMITATION JEWELLERY OF PLASTIC,71179010
3778,0,0,0,Other Country Groups,IMITATION JEWELLERY OF PLASTIC,71179010
3779,0,0,1,Gulf Cooperation Council,OTHER NON METAL IMITATION JEWELLERY,71179090
3780,0,0,1,European Union,OTHER NON METAL IMITATION JEWELLERY,71179090
